"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_km2_km"
"3830",1061000,"Powiat m.Łódź",2012,2605.3
"3831",1062000,"Powiat m.Piotrków Trybunalski",2012,2929.8
"3832",1063000,"Powiat m.Skierniewice",2012,4911.4
"3833",1201000,"Powiat bocheński",2012,50.9
"3834",1202000,"Powiat brzeski",2012,0
"3835",1203000,"Powiat chrzanowski",2012,75.3
"3836",1204000,"Powiat dąbrowski",2012,0
"3837",1205000,"Powiat gorlicki",2012,0
"3838",1206000,"Powiat krakowski",2012,5.7
"3839",1208000,"Powiat miechowski",2012,7.4
"3840",1209000,"Powiat myślenicki",2012,16.3
"3841",1210000,"Powiat nowosądecki",2012,14.8
"3842",1211000,"Powiat nowotarski",2012,59.7
"3843",1212000,"Powiat olkuski",2012,0
"3844",1213000,"Powiat oświęcimski",2012,495.6
"3845",1214000,"Powiat proszowicki",2012,0
"3846",1215000,"Powiat suski",2012,23.3
"3847",1216000,"Powiat tarnowski",2012,22
"3848",1217000,"Powiat tatrzański",2012,29.7
"3849",1218000,"Powiat wadowicki",2012,21.7
"3850",1219000,"Powiat wielicki",2012,170.4
"3851",1261000,"Powiat m.Kraków",2012,4124.8
"3852",1262000,"Powiat m.Nowy Sącz",2012,1215.7
"3853",1263000,"Powiat m.Tarnów",2012,7363.9
"3854",1401000,"Powiat białobrzeski",2012,72
"3855",1402000,"Powiat ciechanowski",2012,67
"3856",1403000,"Powiat garwoliński",2012,54.5
"3857",1404000,"Powiat gostyniński",2012,180.5
"3858",1405000,"Powiat grodziski",2012,155.3
"3859",1406000,"Powiat grójecki",2012,37.1
"3860",1407000,"Powiat kozienicki",2012,52.4
"3861",1408000,"Powiat legionowski",2012,427.8
"3862",1409000,"Powiat lipski",2012,0
"3863",1410000,"Powiat łosicki",2012,0
"3864",1411000,"Powiat makowski",2012,16.9
"3865",1412000,"Powiat miński",2012,89.4
"3866",1413000,"Powiat mławski",2012,118.5
"3867",1414000,"Powiat nowodworski",2012,417.4
"3868",1415000,"Powiat ostrołęcki",2012,270.2
"3869",1416000,"Powiat ostrowski",2012,412.2
"3870",1417000,"Powiat otwocki",2012,410.8
"3871",1418000,"Powiat piaseczyński",2012,281.8
"3872",1419000,"Powiat płocki",2012,116.9
"3873",1420000,"Powiat płoński",2012,86.2
"3874",1421000,"Powiat pruszkowski",2012,592.8
"3875",1422000,"Powiat przasnyski",2012,116.5
"3876",1423000,"Powiat przysuski",2012,21.2
"3877",1424000,"Powiat pułtuski",2012,0
"3878",1425000,"Powiat radomski",2012,100.7
"3879",1426000,"Powiat siedlecki",2012,83.6
"3880",1427000,"Powiat sierpecki",2012,9.4
"3881",1428000,"Powiat sochaczewski",2012,148.3
"3882",1429000,"Powiat sokołowski",2012,37.1
"3883",1430000,"Powiat szydłowiecki",2012,0
"3884",1432000,"Powiat warszawski zachodni",2012,455.2
"3885",1433000,"Powiat węgrowski",2012,80.3
