"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_60_do_80_m2_zl"
"24890",1611000,"Powiat strzelecki",2015,2215
"24891",1661000,"Powiat m.Opole",2015,3581
"24892",1801000,"Powiat bieszczadzki",2015,2031
"24893",1802000,"Powiat brzozowski",2015,0
"24894",1803000,"Powiat dębicki",2015,2593
"24895",1804000,"Powiat jarosławski",2015,2778
"24896",1805000,"Powiat jasielski",2015,1914
"24897",1806000,"Powiat kolbuszowski",2015,0
"24898",1807000,"Powiat krośnieński",2015,1413
"24899",1808000,"Powiat leżajski",2015,1854
"24900",1809000,"Powiat lubaczowski",2015,1861
"24901",1810000,"Powiat łańcucki",2015,0
"24902",1811000,"Powiat mielecki",2015,2789
"24903",1812000,"Powiat niżański",2015,2057
"24904",1813000,"Powiat przemyski",2015,2366
"24905",1814000,"Powiat przeworski",2015,1864
"24906",1815000,"Powiat ropczycko-sędziszowski",2015,2549
"24907",1816000,"Powiat rzeszowski",2015,3278
"24908",1817000,"Powiat sanocki",2015,2907
"24909",1818000,"Powiat stalowowolski",2015,2543
"24910",1819000,"Powiat strzyżowski",2015,2581
"24911",1820000,"Powiat tarnobrzeski",2015,1996
"24912",1821000,"Powiat leski",2015,1649
"24913",1861000,"Powiat m.Krosno",2015,2929
"24914",1862000,"Powiat m.Przemyśl",2015,2554
"24915",1863000,"Powiat m.Rzeszów",2015,4109
"24916",1864000,"Powiat m.Tarnobrzeg",2015,2335
"24917",2001000,"Powiat augustowski",2015,3826
"24918",2002000,"Powiat białostocki",2015,2640
"24919",2003000,"Powiat bielski",2015,0
"24920",2004000,"Powiat grajewski",2015,2504
"24921",2005000,"Powiat hajnowski",2015,1728
"24922",2006000,"Powiat kolneński",2015,2697
"24923",2007000,"Powiat łomżyński",2015,0
"24924",2008000,"Powiat moniecki",2015,2459
"24925",2009000,"Powiat sejneński",2015,2206
"24926",2010000,"Powiat siemiatycki",2015,0
"24927",2011000,"Powiat sokólski",2015,2732
"24928",2012000,"Powiat suwalski",2015,0
"24929",2013000,"Powiat wysokomazowiecki",2015,0
"24930",2014000,"Powiat zambrowski",2015,3269
"24931",2061000,"Powiat m.Białystok",2015,3988
"24932",2062000,"Powiat m.Łomża",2015,2770
"24933",2063000,"Powiat m.Suwałki",2015,2635
"24934",2201000,"Powiat bytowski",2015,2339
"24935",2202000,"Powiat chojnicki",2015,2633
"24936",2203000,"Powiat człuchowski",2015,1952
"24937",2204000,"Powiat gdański",2015,3909
"24938",2205000,"Powiat kartuski",2015,3362
"24939",2206000,"Powiat kościerski",2015,2627
"24940",2207000,"Powiat kwidzyński",2015,2047
"24941",2208000,"Powiat lęborski",2015,2570
"24942",2209000,"Powiat malborski",2015,2425
"24943",2210000,"Powiat nowodworski",2015,2737
"24944",2211000,"Powiat pucki",2015,4322
"24945",2212000,"Powiat słupski",2015,2494
"24946",2213000,"Powiat starogardzki",2015,2707
"24947",2214000,"Powiat tczewski",2015,3199
"24948",2215000,"Powiat wejherowski",2015,3672
"24949",2216000,"Powiat sztumski",2015,1613
"24950",2261000,"Powiat m.Gdańsk",2015,4683
"24951",2262000,"Powiat m.Gdynia",2015,5064
"24952",2263000,"Powiat m.Słupsk",2015,3064
"24953",2264000,"Powiat m.Sopot",2015,6932
"24954",2401000,"Powiat będziński",2015,2459
