"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_produkcyjnym_proc"
"7139",2470000,"Powiat m.Mysłowice",2002,64.9
"7140",2471000,"Powiat m.Piekary Śląskie",2002,64.2
"7141",2472000,"Powiat m.Ruda Śląska",2002,65
"7142",2473000,"Powiat m.Rybnik",2002,64.9
"7143",2474000,"Powiat m.Siemianowice Śląskie",2002,65.8
"7144",2475000,"Powiat m.Sosnowiec",2002,67.9
"7145",2476000,"Powiat m.Świętochłowice",2002,65.7
"7146",2477000,"Powiat m.Tychy",2002,68
"7147",2478000,"Powiat m.Zabrze",2002,64.7
"7148",2479000,"Powiat m.Żory",2002,71.3
"7149",2601000,"Powiat buski",2002,58.5
"7150",2602000,"Powiat jędrzejowski",2002,59.6
"7151",2603000,"Powiat kazimierski",2002,57.4
"7152",2604000,"Powiat kielecki",2002,58.8
"7153",2605000,"Powiat konecki",2002,60
"7154",2606000,"Powiat opatowski",2002,57.8
"7155",2607000,"Powiat ostrowiecki",2002,62
"7156",2608000,"Powiat pińczowski",2002,57.9
"7157",2609000,"Powiat sandomierski",2002,59
"7158",2610000,"Powiat skarżyski",2002,61.5
"7159",2611000,"Powiat starachowicki",2002,60
"7160",2612000,"Powiat staszowski",2002,58.8
"7161",2613000,"Powiat włoszczowski",2002,58
"7162",2661000,"Powiat m.Kielce",2002,66.3
"7163",2801000,"Powiat bartoszycki",2002,61.3
"7164",2802000,"Powiat braniewski",2002,60.8
"7165",2803000,"Powiat działdowski",2002,60.2
"7166",2804000,"Powiat elbląski",2002,59.6
"7167",2805000,"Powiat ełcki",2002,61
"7168",2806000,"Powiat giżycki",2002,61.4
"7169",2807000,"Powiat iławski",2002,61
"7170",2808000,"Powiat kętrzyński",2002,61.4
"7171",2809000,"Powiat lidzbarski",2002,60.4
"7172",2810000,"Powiat mrągowski",2002,62.1
"7173",2811000,"Powiat nidzicki",2002,60.3
"7174",2812000,"Powiat nowomiejski",2002,58.6
"7175",2813000,"Powiat olecki",2002,58.7
"7176",2814000,"Powiat olsztyński",2002,62.3
"7177",2815000,"Powiat ostródzki",2002,61.3
"7178",2816000,"Powiat piski",2002,59.5
"7179",2817000,"Powiat szczycieński",2002,60.7
"7180",2818000,"Powiat gołdapski",2002,59.3
"7181",2819000,"Powiat węgorzewski",2002,61.4
"7182",2861000,"Powiat m.Elbląg",2002,64.5
"7183",2862000,"Powiat m.Olsztyn",2002,67.1
"7184",3001000,"Powiat chodzieski",2002,62.6
"7185",3002000,"Powiat czarnkowsko-trzcianecki",2002,61.6
"7186",3003000,"Powiat gnieźnieński",2002,63
"7187",3004000,"Powiat gostyński",2002,59.9
"7188",3005000,"Powiat grodziski",2002,60.2
"7189",3006000,"Powiat jarociński",2002,60.9
"7190",3007000,"Powiat kaliski",2002,59.2
"7191",3008000,"Powiat kępiński",2002,61.2
"7192",3009000,"Powiat kolski",2002,60.5
"7193",3010000,"Powiat koniński",2002,59.2
"7194",3011000,"Powiat kościański",2002,61.4
"7195",3012000,"Powiat krotoszyński",2002,60.3
"7196",3013000,"Powiat leszczyński",2002,60.5
"7197",3014000,"Powiat międzychodzki",2002,62
"7198",3015000,"Powiat nowotomyski",2002,61.6
"7199",3016000,"Powiat obornicki",2002,62.8
"7200",3017000,"Powiat ostrowski",2002,61.7
"7201",3018000,"Powiat ostrzeszowski",2002,60.6
"7202",3019000,"Powiat pilski",2002,63.1
"7203",3020000,"Powiat pleszewski",2002,61.3
"7204",3021000,"Powiat poznański",2002,63.9
"7205",3022000,"Powiat rawicki",2002,61.4
"7206",3023000,"Powiat słupecki",2002,60.7
"7207",3024000,"Powiat szamotulski",2002,62.5
"7208",3025000,"Powiat średzki",2002,62
"7209",3026000,"Powiat śremski",2002,62.7
"7210",3027000,"Powiat turecki",2002,60
"7211",3028000,"Powiat wągrowiecki",2002,60.9
"7212",3029000,"Powiat wolsztyński",2002,61.3
"7213",3030000,"Powiat wrzesiński",2002,62.4
"7214",3031000,"Powiat złotowski",2002,61
"7215",3061000,"Powiat m.Kalisz",2002,64.3
"7216",3062000,"Powiat m.Konin",2002,66
"7217",3063000,"Powiat m.Leszno",2002,65.2
"7218",3064000,"Powiat m.Poznań",2002,66.3
"7219",3201000,"Powiat białogardzki",2002,61.5
"7220",3202000,"Powiat choszczeński",2002,61.3
"7221",3203000,"Powiat drawski",2002,61.8
"7222",3204000,"Powiat goleniowski",2002,63.1
"7223",3205000,"Powiat gryficki",2002,62.1
"7224",3206000,"Powiat gryfiński",2002,63.1
"7225",3207000,"Powiat kamieński",2002,63.5
"7226",3208000,"Powiat kołobrzeski",2002,63.8
"7227",3209000,"Powiat koszaliński",2002,61.9
"7228",3210000,"Powiat myśliborski",2002,62.6
"7229",3211000,"Powiat policki",2002,66.8
"7230",3212000,"Powiat pyrzycki",2002,62.2
"7231",3213000,"Powiat sławieński",2002,61.5
"7232",3214000,"Powiat stargardzki",2002,63.5
"7233",3215000,"Powiat szczecinecki",2002,60.9
"7234",3216000,"Powiat świdwiński",2002,61.2
"7235",3217000,"Powiat wałecki",2002,62.6
"7236",3218000,"Powiat łobeski",2002,60.6
"7237",3261000,"Powiat m.Koszalin",2002,66.3
"7238",3262000,"Powiat m.Szczecin",2002,65.9
"7239",3263000,"Powiat m.Świnoujście",2002,66.9
"7240",201000,"Powiat bolesławiecki",2003,63.2
"7241",202000,"Powiat dzierżoniowski",2003,62.9
"7242",203000,"Powiat głogowski",2003,67.8
"7243",204000,"Powiat górowski",2003,60.5
"7244",205000,"Powiat jaworski",2003,63.3
"7245",206000,"Powiat jeleniogórski",2003,64.8
"7246",207000,"Powiat kamiennogórski",2003,62.7
"7247",208000,"Powiat kłodzki",2003,63.5
"7248",209000,"Powiat legnicki",2003,62.9
"7249",210000,"Powiat lubański",2003,63
"7250",211000,"Powiat lubiński",2003,67.6
"7251",212000,"Powiat lwówecki",2003,62.1
"7252",213000,"Powiat milicki",2003,62.7
"7253",214000,"Powiat oleśnicki",2003,63.6
"7254",215000,"Powiat oławski",2003,65.8
"7255",216000,"Powiat polkowicki",2003,63.6
"7256",217000,"Powiat strzeliński",2003,62.2
"7257",218000,"Powiat średzki",2003,62.9
"7258",219000,"Powiat świdnicki",2003,64.1
"7259",220000,"Powiat trzebnicki",2003,63.6
"7260",221000,"Powiat wałbrzyski",2003,63.6
"7261",222000,"Powiat wołowski",2003,62.5
"7262",223000,"Powiat wrocławski",2003,63.3
"7263",224000,"Powiat ząbkowicki",2003,62.8
"7264",225000,"Powiat zgorzelecki",2003,64.1
"7265",226000,"Powiat złotoryjski",2003,64
"7266",261000,"Powiat m.Jelenia Góra",2003,65.1
"7267",262000,"Powiat m.Legnica",2003,65.8
"7268",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"7269",264000,"Powiat m.Wrocław",2003,66.5
"7270",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"7271",401000,"Powiat aleksandrowski",2003,61.7
"7272",402000,"Powiat brodnicki",2003,60.2
"7273",403000,"Powiat bydgoski",2003,62.8
"7274",404000,"Powiat chełmiński",2003,62
